split,group,source_path,image_path,label_path,objects
test,negative_in_domain,/home/jovyan/ver_2/data/negative_in_domain/negative_in_domain_1.jpg,/home/jovyan/ver_2/results/baselines/yolo_dataset/images/test/negative_in_domain__negative_in_domain_1.jpg,/home/jovyan/ver_2/results/baselines/yolo_dataset/labels/test/negative_in_domain__negative_in_domain_1.txt,0
test,negative_in_domain,/home/jovyan/ver_2/data/negative_in_domain/negative_in_domain_1006.jpg,/home/jovyan/ver_2/results/baselines/yolo_dataset/images/test/negative_in_domain__negative_in_domain_1006.jpg,/home/jovyan/ver_2/results/baselines/yolo_dataset/labels/test/negative_in_domain__negative_in_domain_1006.txt,0
test,negative_in_domain,/home/jovyan/ver_2/data/negative_in_domain/negative_in_domain_1018.jpg,/home/jovyan/ver_2/results/baselines/yolo_dataset/images/test/negative_in_domain__negative_in_domain_1018.jpg,/home/jovyan/ver_2/results/baselines/yolo_dataset/labels/test/negative_in_domain__negative_in_domain_1018.txt,0
test,negative_in_domain,/home/jovyan/ver_2/data/negative_in_domain/negative_in_domain_1026.jpg,/home/jovyan/ver_2/results/baselines/yolo_dataset/images/test/negative_in_domain__negative_in_domain_1026.jpg,/home/jovyan/ver_2/results/baselines/yolo_dataset/labels/test/negative_in_domain__negative_in_domain_1026.txt,0
test,negative_in_domain,/home/jovyan/ver_2/data/negative_in_domain/negative_in_domain_1029.jpg,/home/jovyan/ver_2/results/baselines/yolo_dataset/images/test/negative_in_domain__negative_in_domain_1029.jpg,/home/jovyan/ver_2/results/baselines/yolo_dataset/labels/test/negative_in_domain__negative_in_domain_1029.txt,0
test,negative_in_domain,/home/jovyan/ver_2/data/negative_in_domain/negative_in_domain_1031.jpg,/home/jovyan/ver_2/results/baselines/yolo_dataset/images/test/negative_in_domain__negative_in_domain_1031.jpg,/home/jovyan/ver_2/results/baselines/yolo_dataset/labels/test/negative_in_domain__negative_in_domain_1031.txt,0
test,negative_in_domain,/home/jovyan/ver_2/data/negative_in_domain/negative_in_domain_1036.jpg,/home/jovyan/ver_2/results/baselines/yolo_dataset/images/test/negative_in_domain__negative_in_domain_1036.jpg,/home/jovyan/ver_2/results/baselines/yolo_dataset/labels/test/negative_in_domain__negative_in_domain_1036.txt,0
test,negative_in_domain,/home/jovyan/ver_2/data/negative_in_domain/negative_in_domain_104.jpg,/home/jovyan/ver_2/results/baselines/yolo_dataset/images/test/negative_in_domain__negative_in_domain_104.jpg,/home/jovyan/ver_2/results/baselines/yolo_dataset/labels/test/negative_in_domain__negative_in_domain_104.txt,0
test,negative_in_domain,/home/jovyan/ver_2/data/negative_in_domain/negative_in_domain_1048.jpg,/home/jovyan/ver_2/results/baselines/yolo_dataset/images/test/negative_in_domain__negative_in_domain_1048.jpg,/home/jovyan/ver_2/results/baselines/yolo_dataset/labels/test/negative_in_domain__negative_in_domain_1048.txt,0
test,negative_in_domain,/home/jovyan/ver_2/data/negative_in_domain/negative_in_domain_1051.jpg,/home/jovyan/ver_2/results/baselines/yolo_dataset/images/test/negative_in_domain__negative_in_domain_1051.jpg,/home/jovyan/ver_2/results/baselines/yolo_dataset/labels/test/negative_in_domain__negative_in_domain_1051.txt,0
test,negative_in_domain,/home/jovyan/ver_2/data/negative_in_domain/negative_in_domain_1052.jpg,/home/jovyan/ver_2/results/baselines/yolo_dataset/images/test/negative_in_domain__negative_in_domain_1052.jpg,/home/jovyan/ver_2/results/baselines/yolo_dataset/labels/test/negative_in_domain__negative_in_domain_1052.txt,0
test,negative_in_domain,/home/jovyan/ver_2/data/negative_in_domain/negative_in_domain_1068.jpg,/home/jovyan/ver_2/results/baselines/yolo_dataset/images/test/negative_in_domain__negative_in_domain_1068.jpg,/home/jovyan/ver_2/results/baselines/yolo_dataset/labels/test/negative_in_domain__negative_in_domain_1068.txt,0
test,negative_in_domain,/home/jovyan/ver_2/data/negative_in_domain/negative_in_domain_1076.jpg,/home/jovyan/ver_2/results/baselines/yolo_dataset/images/test/negative_in_domain__negative_in_domain_1076.jpg,/home/jovyan/ver_2/results/baselines/yolo_dataset/labels/test/negative_in_domain__negative_in_domain_1076.txt,0
test,negative_in_domain,/home/jovyan/ver_2/data/negative_in_domain/negative_in_domain_1083.jpg,/home/jovyan/ver_2/results/baselines/yolo_dataset/images/test/negative_in_domain__negative_in_domain_1083.jpg,/home/jovyan/ver_2/results/baselines/yolo_dataset/labels/test/negative_in_domain__negative_in_domain_1083.txt,0
test,negative_in_domain,/home/jovyan/ver_2/data/negative_in_domain/negative_in_domain_1104.jpg,/home/jovyan/ver_2/results/baselines/yolo_dataset/images/test/negative_in_domain__negative_in_domain_1104.jpg,/home/jovyan/ver_2/results/baselines/yolo_dataset/labels/test/negative_in_domain__negative_in_domain_1104.txt,0
test,negative_in_domain,/home/jovyan/ver_2/data/negative_in_domain/negative_in_domain_1121.jpg,/home/jovyan/ver_2/results/baselines/yolo_dataset/images/test/negative_in_domain__negative_in_domain_1121.jpg,/home/jovyan/ver_2/results/baselines/yolo_dataset/labels/test/negative_in_domain__negative_in_domain_1121.txt,0
test,negative_in_domain,/home/jovyan/ver_2/data/negative_in_domain/negative_in_domain_1123.jpg,/home/jovyan/ver_2/results/baselines/yolo_dataset/images/test/negative_in_domain__negative_in_domain_1123.jpg,/home/jovyan/ver_2/results/baselines/yolo_dataset/labels/test/negative_in_domain__negative_in_domain_1123.txt,0
test,negative_in_domain,/home/jovyan/ver_2/data/negative_in_domain/negative_in_domain_1127.jpg,/home/jovyan/ver_2/results/baselines/yolo_dataset/images/test/negative_in_domain__negative_in_domain_1127.jpg,/home/jovyan/ver_2/results/baselines/yolo_dataset/labels/test/negative_in_domain__negative_in_domain_1127.txt,0
test,negative_in_domain,/home/jovyan/ver_2/data/negative_in_domain/negative_in_domain_1134.jpg,/home/jovyan/ver_2/results/baselines/yolo_dataset/images/test/negative_in_domain__negative_in_domain_1134.jpg,/home/jovyan/ver_2/results/baselines/yolo_dataset/labels/test/negative_in_domain__negative_in_domain_1134.txt,0
test,negative_in_domain,/home/jovyan/ver_2/data/negative_in_domain/negative_in_domain_1140.jpg,/home/jovyan/ver_2/results/baselines/yolo_dataset/images/test/negative_in_domain__negative_in_domain_1140.jpg,/home/jovyan/ver_2/results/baselines/yolo_dataset/labels/test/negative_in_domain__negative_in_domain_1140.txt,0
test,negative_in_domain,/home/jovyan/ver_2/data/negative_in_domain/negative_in_domain_1152.jpg,/home/jovyan/ver_2/results/baselines/yolo_dataset/images/test/negative_in_domain__negative_in_domain_1152.jpg,/home/jovyan/ver_2/results/baselines/yolo_dataset/labels/test/negative_in_domain__negative_in_domain_1152.txt,0
test,negative_in_domain,/home/jovyan/ver_2/data/negative_in_domain/negative_in_domain_1153.jpg,/home/jovyan/ver_2/results/baselines/yolo_dataset/images/test/negative_in_domain__negative_in_domain_1153.jpg,/home/jovyan/ver_2/results/baselines/yolo_dataset/labels/test/negative_in_domain__negative_in_domain_1153.txt,0
test,negative_in_domain,/home/jovyan/ver_2/data/negative_in_domain/negative_in_domain_1154.jpg,/home/jovyan/ver_2/results/baselines/yolo_dataset/images/test/negative_in_domain__negative_in_domain_1154.jpg,/home/jovyan/ver_2/results/baselines/yolo_dataset/labels/test/negative_in_domain__negative_in_domain_1154.txt,0
